日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-07-13,2886,兆豐金,A.外投同買3天 / B.投信連買4天,8661067.0,3231086.0,46.73
2026-07-13,2637,慧洋-KY,A.外投同買3天 / C.外資連買5天,757000.0,1679329.0,38.66
2026-07-13,2884,玉山金,A.外投同買3天 / C.外資連買5天,520237.0,1059700.0,7.5
2026-07-13,3189,景碩,A.外投同買3天,186000.0,202435.0,15.46
2026-07-13,1216,統一,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,117556.0,5321896.0,28.62
2026-07-13,2377,微星,A.外投同買3天 / B.投信連買4天,6000.0,6337460.0,23.3
2026-07-13,2912,統一超,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,4088.0,856967.0,37.37
2026-07-13,2207,和泰車,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,3166.0,19147.0,13.03
2026-07-13,3596,智易,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,2000.0,265932.0,34.15
2026-07-13,1303,南亞,B.投信連買4天,9372000.0,-6699972.0,4.7
2026-07-13,1402,遠東新,B.投信連買4天,5302389.0,-18748811.0,-37.38
2026-07-13,2356,英業達,B.投信連買4天,2902299.0,-26602157.0,-38.21
2026-07-13,8046,南電,B.投信連買4天,2631588.0,-3481879.0,-4.17
2026-07-13,2382,廣達,B.投信連買4天,2054130.0,479422.0,17.81
2026-07-13,2458,義隆,B.投信連買4天,1303000.0,-395607.0,9.42
2026-07-13,5434,崇越,B.投信連買4天,769000.0,-785572.0,1.65
2026-07-13,2379,瑞昱,B.投信連買4天,629061.0,-3100830.0,-38.54
2026-07-13,6282,康舒,B.投信連買4天,420000.0,-1495674.0,-1.66
2026-07-13,2855,統一證,B.投信連買4天,410000.0,-2071000.0,-33.03
2026-07-13,3711,日月光投控,B.投信連買4天,401657.0,-3121921.0,-9.53
2026-07-13,2610,華航,B.投信連買4天,372124.0,21428258.0,52.87
2026-07-13,2006,東和鋼鐵,B.投信連買4天,371000.0,405585.0,29.38
2026-07-13,2441,超豐,B.投信連買4天,348000.0,-2686121.0,-20.17
2026-07-13,2633,台灣高鐵,B.投信連買4天,296000.0,-434000.0,-2.96
2026-07-13,2542,興富發,B.投信連買4天,280000.0,-701982.0,-7.65
2026-07-13,2451,創見,B.投信連買4天,242000.0,-261431.0,-2.16
2026-07-13,3034,聯詠,B.投信連買4天,237103.0,2383371.0,11.73
2026-07-13,2206,三陽工業,B.投信連買4天,202000.0,-75959.0,13.33
2026-07-13,2851,中再保,B.投信連買4天,200000.0,-60052.0,6.64
2026-07-13,5269,祥碩,B.投信連買4天,190000.0,319104.0,51.27
2026-07-13,7769,鴻勁,B.投信連買4天,153556.0,-113013.0,5.76
2026-07-13,8016,矽創,B.投信連買4天,122000.0,-301397.0,-9.99
2026-07-13,4967,十銓,B.投信連買4天,120000.0,290099.0,15.56
2026-07-13,1102,亞泥,B.投信連買4天,88565.0,-16143597.0,-78.04
2026-07-13,1608,華榮,B.投信連買4天,80000.0,-1323458.0,-49.4
2026-07-13,8271,宇瞻,B.投信連買4天,80000.0,-123804.0,-1.95
2026-07-13,5522,遠雄,B.投信連買4天,74000.0,213814.0,38.44
2026-07-13,2891,中信金,B.投信連買4天,70905.0,41021324.0,23.75
2026-07-13,1477,聚陽,B.投信連買4天,69000.0,406397.0,17.62
2026-07-13,6526,達發,B.投信連買4天,55000.0,142993.0,21.15
2026-07-13,6213,聯茂,B.投信連買4天,48000.0,-942586.0,-4.27
2026-07-13,6669,緯穎,B.投信連買4天,45317.0,9805.0,2.16
2026-07-13,2609,陽明,B.投信連買4天,23573.0,-14536520.0,-46.71
2026-07-13,4919,新唐,B.投信連買4天,21000.0,199587.0,5.69
2026-07-13,2897,王道銀行,B.投信連買4天,17000.0,-405938.0,-13.17
2026-07-13,2383,台光電,B.投信連買4天,15897.0,-637.0,0.54
2026-07-13,2646,星宇航空,B.投信連買4天,12000.0,1055635.0,27.69
2026-07-13,1409,新纖,B.投信連買4天,10000.0,-8484144.0,-23.49
2026-07-13,2371,大同,B.投信連買4天,10000.0,4584575.0,40.95
2026-07-13,2493,揚博,B.投信連買4天,8000.0,789538.0,18.72
2026-07-13,2308,台達電,B.投信連買4天,7125.0,261458.0,3.31
2026-07-13,1907,永豐餘,B.投信連買4天,7000.0,-471000.0,-31.76
2026-07-13,2501,國建,B.投信連買4天,7000.0,-3382743.0,-29.73
2026-07-13,1326,台化,B.投信連買4天,6000.0,4752503.0,5.63
2026-07-13,2347,聯強,B.投信連買4天,6000.0,11472068.0,33.94
2026-07-13,1229,聯華,B.投信連買4天,5000.0,-234810.0,-7.3
2026-07-13,2478,大毅,B.投信連買4天,5000.0,1832946.0,25.56
2026-07-13,6139,亞翔,B.投信連買4天,3000.0,-309118.0,-8.45
2026-07-13,9914,美利達,B.投信連買4天,3000.0,112321.0,8.89
2026-07-13,1795,美時,B.投信連買4天,2000.0,-451119.0,-20.51
2026-07-13,9939,宏全,B.投信連買4天,2000.0,1413509.0,53.5
2026-07-13,9958,世紀鋼,B.投信連買4天,2000.0,-98989.0,-9.15
2026-07-13,6197,佳必琪,B.投信連買4天,1000.0,-481746.0,-11.07
2026-07-13,6831,邁科,B.投信連買4天,1000.0,-109333.0,-13.42
2026-07-13,9917,中保科,B.投信連買4天,1000.0,-6327.0,-0.43
2026-07-13,6505,台塑化,C.外資連買5天,889148.0,8886683.0,31.99
2026-07-13,5880,合庫金,C.外資連買5天,196811.0,10121230.0,54.15
2026-07-13,6789,采鈺,C.外資連買5天,1000.0,225439.0,7.31
2026-07-13,1215,卜蜂,C.外資連買5天,0.0,479000.0,30.67
2026-07-13,1220,台榮,C.外資連買5天,0.0,28000.0,10.7
2026-07-13,1454,台富,C.外資連買5天,0.0,2000.0,-4.16
2026-07-13,1459,聯發,C.外資連買5天,0.0,7018.0,7.43
2026-07-13,1468,昶和,C.外資連買5天,0.0,1000.0,8.57
2026-07-13,1783,和康生,C.外資連買5天,0.0,10000.0,9.08
2026-07-13,1903,士紙,C.外資連買5天,0.0,22010.0,15.85
2026-07-13,2023,燁輝,C.外資連買5天,0.0,1012832.0,35.3
2026-07-13,2106,建大,C.外資連買5天,0.0,103030.0,19.28
2026-07-13,2480,敦陽科,C.外資連買5天,0.0,182825.0,45.59
2026-07-13,2527,宏璟,C.外資連買5天,0.0,1400450.0,41.11
2026-07-13,2597,潤弘,C.外資連買5天,0.0,54075.0,31.35
2026-07-13,2867,三商壽,C.外資連買5天,0.0,2400065.0,28.08
2026-07-13,2889,國票金,C.外資連買5天,0.0,377014.0,3.7
2026-07-13,3591,艾笛森,C.外資連買5天,0.0,204001.0,12.18
2026-07-13,3593,力銘,C.外資連買5天,0.0,6000.0,17.37
2026-07-13,4104,佳醫,C.外資連買5天,0.0,154105.0,45.33
2026-07-13,4439,冠星-KY,C.外資連買5天,0.0,14900.0,12.23
2026-07-13,4771,望隼,C.外資連買5天,0.0,7073.0,2.09
2026-07-13,5222,全訊,C.外資連買5天,0.0,10424.0,1.14
2026-07-13,5258,虹堡,C.外資連買5天,0.0,229000.0,22.45
2026-07-13,5607,遠雄港,C.外資連買5天,0.0,31030.0,3.94
2026-07-13,6112,邁達特,C.外資連買5天,0.0,6000.0,1.69
2026-07-13,6189,豐藝,C.外資連買5天,0.0,16363.0,2.85
2026-07-13,6214,精誠,C.外資連買5天,0.0,442493.0,23.89
2026-07-13,6226,光鼎,C.外資連買5天,0.0,203000.0,7.58
2026-07-13,6491,晶碩,C.外資連買5天,0.0,231350.0,34.97
2026-07-13,6957,裕慶-KY,C.外資連買5天,0.0,15000.0,11.01
2026-07-13,6965,中傑-KY,C.外資連買5天,0.0,3000.0,20.6
2026-07-13,8033,雷虎,C.外資連買5天,0.0,52309.0,1.29
2026-07-13,8462,柏文,C.外資連買5天,0.0,107303.0,29.19
2026-07-13,8467,波力-KY,C.外資連買5天,0.0,2000.0,21.9
2026-07-13,6414,樺漢,C.外資連買5天,-1000.0,468464.0,19.39
2026-07-13,5515,建國,C.外資連買5天,-40000.0,208000.0,27.59
2026-07-13,2404,漢唐,C.外資連買5天,-59000.0,202769.0,7.56
2026-07-13,2606,裕民,C.外資連買5天,-65000.0,2130724.0,41.69
2026-07-13,2385,群光,C.外資連買5天,-83795.0,224695.0,4.93
2026-07-13,2357,華碩,C.外資連買5天,-110605.0,3170105.0,47.2
2026-07-13,6176,瑞儀,C.外資連買5天,-157000.0,159280.0,-2.39
2026-07-13,2105,正新,C.外資連買5天,-191539.0,4694066.0,48.23
