代號,名稱,分類,狀態,檢核結果,警示
1235,興泰,C.外資連買5天,✅ 通過,✓ 營收YoY成長177.2% | 季增率QoQ(2.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比85.12% | ✓ 融資使用率2.5%,-
5522,遠雄,C.外資連買5天,✅ 通過,✓ 營收YoY成長2495.5% | 季增率QoQ(41.3%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比75.64% | ✓ 融資使用率0.5%,-
8488,吉源-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長56.5% | 季增率QoQ(24.8%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比67.74% | ✓ 融資使用率0.1%,-
6184,大豐電,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.0% | 季增率QoQ(0.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比64.97% | ✓ 融資使用率1.2%,-
8367,建新國際,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.9% | 季增率QoQ(2.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比61.39% | ✓ 融資使用率0.0%,-
2608,嘉里大榮,C.外資連買5天,✅ 通過,✓ 營收YoY成長14.4% | 季增率QoQ(4.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比58.93% | ✓ 融資使用率1.2%,-
6655,科定,C.外資連買5天,✅ 通過,✓ 營收YoY成長82.7% | 季增率QoQ(12.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比57.33% | ✓ 融資使用率0.0%,-
6183,關貿,C.外資連買5天,✅ 通過,✓ 營收YoY成長0.6% | 季增率QoQ(20.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比56.14% | ✓ 融資使用率0.0%,-
6790,永豐實,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.4% | 季增率QoQ(4.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比53.09% | ✓ 融資使用率0.9%,-
2923,鼎固-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長481.1% | 季增率QoQ(508.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比51.85%,-
3266,昇陽,C.外資連買5天,✅ 通過,✓ 營收YoY成長222.0% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比50.60% | ✓ 融資使用率0.4%,警示季增率QoQ為負(-6.3%)
5525,順天,C.外資連買5天,✅ 通過,✓ 營收YoY成長1344.1% | 季增率QoQ(2492.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比49.83% | ✓ 融資使用率0.4%,-
9905,大華,C.外資連買5天,✅ 通過,✓ 營收YoY成長38.1% | 季增率QoQ(15.4%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比48.37% | ✓ 融資使用率0.0%,-
5538,東明-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長46.2% | 季增率QoQ(15.4%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比47.27% | ✓ 融資使用率0.0%,-
9925,新保,C.外資連買5天,✅ 通過,✓ 營收YoY成長9.0% | 季增率QoQ(5.8%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比46.19% | ✓ 融資使用率0.0%,-
9930,中聯資源,C.外資連買5天,✅ 通過,✓ 營收YoY成長10.2% | 季增率QoQ(7.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比44.09% | ✓ 融資使用率0.0%,-
8411,福貞-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長47.3% | 季增率QoQ(35.1%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比43.01% | ✓ 融資使用率0.0%,-
