日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-03-04,3665,貿聯-KY,A.外投同買3天 / C.外資連買5天,843000.0,104567.0,13.55
2026-03-04,3017,奇鋐,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,630366.0,196223.0,10.56
2026-03-04,2404,漢唐,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,454670.0,202151.0,15.28
2026-03-04,4904,遠傳,A.外投同買3天 / C.外資連買5天,101000.0,657750.0,14.02
2026-03-04,2412,中華電,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,100000.0,2017984.0,10.72
2026-03-04,6438,迅得,A.外投同買3天 / B.投信連買4天,1000.0,480604.0,27.88
2026-03-04,2887,台新新光金,B.投信連買4天,65244000.0,-81292411.0,-6.02
2026-03-04,2882,國泰金,B.投信連買4天,4307537.0,-13030332.0,-13.1
2026-03-04,2883,凱基金,B.投信連買4天,2061000.0,-26924728.0,-21.25
2026-03-04,2890,永豐金,B.投信連買4天,1754000.0,-7204767.0,-12.02
2026-03-04,2337,旺宏,B.投信連買4天,1751000.0,39922185.0,20.51
2026-03-04,2885,元大金,B.投信連買4天,1495000.0,-6914476.0,-13.05
2026-03-04,2330,台積電,B.投信連買4天,1470115.0,-27234411.0,-30.16
2026-03-04,2317,鴻海,B.投信連買4天,1352371.0,-35863498.0,-29.52
2026-03-04,2880,華南金,B.投信連買4天,1132000.0,-6625.0,5.94
2026-03-04,5880,合庫金,B.投信連買4天,691000.0,-15556247.0,-45.5
2026-03-04,1717,長興,B.投信連買4天,570000.0,2132290.0,3.66
2026-03-04,2884,玉山金,B.投信連買4天,363000.0,-14979763.0,-27.69
2026-03-04,2357,華碩,B.投信連買4天,281998.0,-1643007.0,-22.87
2026-03-04,3231,緯創,B.投信連買4天,268058.0,-18102958.0,-29.03
2026-03-04,2382,廣達,B.投信連買4天,151846.0,-9790739.0,-29.6
2026-03-04,2409,友達,B.投信連買4天,73635.0,981153.0,-3.67
2026-03-04,6446,藥華藥,B.投信連買4天,56000.0,-213627.0,-5.99
2026-03-04,2395,研華,B.投信連買4天,44000.0,2657.0,-0.2
2026-03-04,6805,富世達,B.投信連買4天,38000.0,188783.0,8.26
2026-03-04,2347,聯強,B.投信連買4天,24661.0,-185091.0,-5.04
2026-03-04,2354,鴻準,B.投信連買4天,19000.0,-2664088.0,-33.2
2026-03-04,3706,神達,B.投信連買4天,19000.0,-4509000.0,-14.71
2026-03-04,3008,大立光,B.投信連買4天,774.0,-350427.0,-25.96
2026-03-04,2603,長榮,C.外資連買5天,3543207.0,695362.0,5.62
2026-03-04,3563,牧德,C.外資連買5天,100000.0,152313.0,5.82
2026-03-04,7795,長廣,C.外資連買5天,47000.0,122100.0,19.01
2026-03-04,1232,大統益,C.外資連買5天,0.0,3000.0,-4.98
2026-03-04,1236,宏亞,C.外資連買5天,0.0,10000.0,3.62
2026-03-04,1321,大洋,C.外資連買5天,0.0,8000.0,-1.45
2026-03-04,1455,集盛,C.外資連買5天,0.0,11000.0,-2.09
2026-03-04,1463,強盛新,C.外資連買5天,0.0,26000.0,20.5
2026-03-04,1525,江申,C.外資連買5天,0.0,11000.0,9.93
2026-03-04,1537,廣隆,C.外資連買5天,0.0,2000.0,-1.47
2026-03-04,1587,吉茂,C.外資連買5天,0.0,242000.0,21.47
2026-03-04,1589,永冠-KY,C.外資連買5天,0.0,137704.0,30.16
2026-03-04,1604,聲寶,C.外資連買5天,0.0,92000.0,21.75
2026-03-04,1725,元禎,C.外資連買5天,0.0,2000.0,0.0
2026-03-04,1773,勝一,C.外資連買5天,0.0,11020.0,-2.54
2026-03-04,1786,科妍,C.外資連買5天,0.0,368071.0,26.74
2026-03-04,1817,凱撒衛,C.外資連買5天,0.0,3000.0,3.2
2026-03-04,2028,威致,C.外資連買5天,0.0,7000.0,-3.16
2026-03-04,2501,國建,C.外資連買5天,0.0,401000.0,9.83
2026-03-04,2867,三商壽,C.外資連買5天,0.0,1784000.0,4.68
2026-03-04,3040,遠見,C.外資連買5天,0.0,29000.0,6.72
2026-03-04,3055,蔚華科,C.外資連買5天,0.0,26000.0,-0.16
2026-03-04,3419,譁裕,C.外資連買5天,0.0,82000.0,17.5
2026-03-04,3576,聯合再生,C.外資連買5天,0.0,1291188.0,3.16
2026-03-04,3716,中化控股,C.外資連買5天,0.0,1000.0,1.96
2026-03-04,4439,冠星-KY,C.外資連買5天,0.0,1000.0,1.35
2026-03-04,4576,大銀微系統,C.外資連買5天,0.0,495000.0,19.97
2026-03-04,4737,華廣,C.外資連買5天,0.0,198000.0,57.35
2026-03-04,4755,三福化,C.外資連買5天,0.0,330500.0,32.72
2026-03-04,4956,光鋐,C.外資連買5天,0.0,484000.0,21.92
2026-03-04,5519,隆大,C.外資連買5天,0.0,173000.0,21.44
2026-03-04,5607,遠雄港,C.外資連買5天,0.0,165000.0,10.42
2026-03-04,5906,台南-KY,C.外資連買5天,0.0,4000.0,30.63
2026-03-04,6184,大豐電,C.外資連買5天,0.0,6000.0,5.5
2026-03-04,6525,捷敏-KY,C.外資連買5天,0.0,20000.0,4.52
2026-03-04,6534,正瀚-創,C.外資連買5天,0.0,8000.0,3.63
2026-03-04,6715,嘉基,C.外資連買5天,0.0,240000.0,21.44
2026-03-04,6722,輝創,C.外資連買5天,0.0,55000.0,22.12
2026-03-04,6782,視陽,C.外資連買5天,0.0,133000.0,26.2
2026-03-04,6887,寶綠特-KY,C.外資連買5天,0.0,1000.0,-8.33
2026-03-04,6988,威力暘-創,C.外資連買5天,0.0,2000.0,16.66
2026-03-04,6994,富威電力,C.外資連買5天,0.0,108000.0,2.97
2026-03-04,7799,禾榮科,C.外資連買5天,0.0,82707.0,12.19
2026-03-04,8213,志超,C.外資連買5天,0.0,159000.0,11.6
2026-03-04,8341,日友,C.外資連買5天,0.0,19000.0,1.26
2026-03-04,8481,政伸,C.外資連買5天,0.0,1000.0,0.0
2026-03-04,8926,台汽電,C.外資連買5天,0.0,92113.0,0.65
2026-03-04,9931,欣高,C.外資連買5天,0.0,16000.0,1.77
2026-03-04,6754,匯僑設計,C.外資連買5天,-348.0,3000.0,3.32
2026-03-04,1708,東鹼,C.外資連買5天,-1000.0,724000.0,17.17
2026-03-04,2850,新產,C.外資連買5天,-1000.0,110046.0,12.42
2026-03-04,2467,志聖,C.外資連買5天,-3000.0,1173010.0,16.37
2026-03-04,1702,南僑,C.外資連買5天,-3529.0,12000.0,-2.75
2026-03-04,3023,信邦,C.外資連買5天,-14421.0,286959.0,13.46
2026-03-04,3045,台灣大,C.外資連買5天,-16000.0,1245073.0,7.96
2026-03-04,2331,精英,C.外資連買5天,-29000.0,675000.0,4.73
2026-03-04,2204,中華,C.外資連買5天,-32580.0,62000.0,-3.91
2026-03-04,2645,長榮航太,C.外資連買5天,-307000.0,177165.0,-5.53
2026-03-04,3036,文曄,C.外資連買5天,-1028021.0,1452789.0,1.6
2026-03-04,2105,正新,C.外資連買5天,-20977857.0,14336254.0,-15.47
