代號,名稱,分類,狀態,檢核結果,警示
2356,英業達,B.投信連買4天,✅ 通過,✓ 營收YoY成長34.8% | 季增率QoQ(1.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比44.50% | ✓ 融資使用率2.5%,-
2485,兆赫,B.投信連買4天,✅ 通過,✓ 營收YoY成長162.7% | 季增率QoQ(8.4%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比33.88%,⚠️ 融資使用率21.3%
3037,欣興,C.外資連買5天,✅ 通過,✓ 營收YoY成長34.5% | 季增率QoQ(6.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比25.77% | ✓ 融資使用率8.5%,-
2945,三商家購,C.外資連買5天,✅ 通過,✓ 營收YoY成長1.9% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比24.59%,警示季增率QoQ為負(-1.7%)
3231,緯創,B.投信連買4天,✅ 通過,✓ 營收YoY成長151.5% | 季增率QoQ(36.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比23.80% | ✓ 融資使用率6.7%,-
4956,光鋐,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長44.4% | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比23.09%,警示季增率QoQ為負(-4.7%) | ⚠️ 融資使用率29.3%
2420,新巨,C.外資連買5天,✅ 通過,✓ 營收YoY成長9.7% | 季增率QoQ(10.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比20.95% | ✓ 融資使用率1.6%,-
6213,聯茂,B.投信連買4天,✅ 通過,✓ 營收YoY成長42.2% | 季增率QoQ(15.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比19.28% | ✓ 融資使用率15.1%,-
8210,勤誠,A.外投同買3天,✅ 通過,✓ 營收YoY成長137.0% | 季增率QoQ(25.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.88% | ✓ 融資使用率11.4%,-
2455,全新,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長30.3% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.17% | ✓ 融資使用率16.7%,警示季增率QoQ為負(-3.3%)
2890,永豐金,C.外資連買5天,✅ 通過,✓ 營收YoY成長55.1% | 季增率QoQ(11.3%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.03% | ✓ 融資使用率0.1%,-
6691,洋基工程,C.外資連買5天,✅ 通過,✓ 營收YoY成長80.4% | 季增率QoQ(26.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比17.09% | ✓ 融資使用率6.1%,-
2305,全友,B.投信連買4天,✅ 通過,✓ 營收YoY成長41.6% | 季增率QoQ(25.9%) | ❌ 5年內有EPS虧損 | 法人本日買超比16.62% | ✓ 融資使用率5.8%,-
