代號,名稱,分類,技術面得分,技術面檢核,檢核結果,警示
1102,亞泥,B.投信連買4天,1/7,✓ 量價同步強勢,✓ 營收YoY成長1.9% | 季增率QoQ(0.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-55.13% | ✓ 融資使用率0.1%,-
3052,夆典,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長37.8% | 季增率QoQ(49.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比64.17% | ✓ 融資使用率3.0%,-
9917,中保科,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長6.4% | 季增率QoQ(5.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比39.97% | ✓ 融資使用率0.1%,-
2313,華通,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長40.2% | 季增率QoQ(1.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比35.79% | ✓ 融資使用率15.0%,-
2357,華碩,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長80.0% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比29.94% | ✓ 融資使用率1.3%,警示季增率QoQ為負(-3.4%)
6257,矽格,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長13.5% | 季增率QoQ(7.7%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比19.94% | ✓ 融資使用率7.7%,-
3059,華晶科,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長22.5% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比15.09% | ✓ 融資使用率16.4%,警示季增率QoQ為負(-15.9%)
2385,群光,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長2.4% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比12.99% | ✓ 融資使用率1.8%,警示季增率QoQ為負(-3.5%)
3596,智易,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長7.4% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比11.02% | ✓ 融資使用率2.7%,警示季增率QoQ為負(-7.2%)
3189,景碩,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長54.9% | 季增率QoQ(5.3%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比10.56% | ✓ 融資使用率13.9%,-
2324,仁寶,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長7.3% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比10.03% | ✓ 融資使用率5.6%,警示季增率QoQ為負(-1.1%)
2408,南亞科,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長608.0% | 季增率QoQ(75.8%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比8.06% | ✓ 融資使用率12.2%,-
6285,啟碁,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長11.0% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比6.22% | ✓ 融資使用率13.9%,警示季增率QoQ為負(-1.0%)
1215,卜蜂,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長13.0% | 季增率QoQ(11.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.40% | ✓ 融資使用率0.5%,-
2897,王道銀行,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長55.7% | 季增率QoQ(22.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.02% | ✓ 融資使用率0.3%,-
2383,台光電,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長55.5% | 季增率QoQ(11.5%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-0.72% | ✓ 融資使用率2.0%,-
2382,廣達,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長61.9% | 季增率QoQ(36.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-11.15% | ✓ 融資使用率1.2%,-
2368,金像電,C.外資連買5天,0/7,無明顯訊號,✓ 營收YoY成長68.5% | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-16.41% | ✓ 融資使用率3.9%,警示季增率QoQ為負(-4.5%)
6213,聯茂,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長42.2% | 季增率QoQ(15.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-20.35% | ✓ 融資使用率18.3%,-
2542,興富發,B.投信連買4天,0/7,無明顯訊號,✓ 營收YoY成長2480.6% | 季增率QoQ(58.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比-23.53% | ✓ 融資使用率1.0%,-
