代號,名稱,分類,技術面得分,技術面檢核,檢核結果,警示
1216,統一,C.外資連買5天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | ✓ 突破波段頸線 | ✓ 量價同步強勢,✓ 營收YoY成長0.5% | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比71.22% | ✓ 融資使用率0.1%,警示季增率QoQ為負(-2.2%)
5607,遠雄港,C.外資連買5天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長41.1% | 季增率QoQ(8.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比25.21% | ✓ 融資使用率2.2%,-
3008,大立光,B.投信連買4天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長11.1% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比1.60% | ✓ 融資使用率8.1%,警示季增率QoQ為負(-11.1%)
1102,亞泥,A.外投同買3天,4/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 突破波段頸線 | ✓ 量價同步強勢,✓ 營收YoY成長1.9% | 季增率QoQ(0.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比64.22% | ✓ 融資使用率0.1%,-
2542,興富發,A.外投同買3天 / B.投信連買4天,4/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線,✓ 營收YoY成長2480.6% | 季增率QoQ(58.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比51.21% | ✓ 融資使用率0.8%,-
6491,晶碩,C.外資連買5天,3/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 量價同步強勢,✓ 營收YoY成長6.0% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比23.19% | ✓ 融資使用率2.4%,警示季增率QoQ為負(-4.5%)
2480,敦陽科,C.外資連買5天,2/7,✓ MACD零軸上金叉 | ✓ KD起漲區金叉,✓ 營收YoY成長31.3% | 季增率QoQ(22.0%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比46.90% | ✓ 融資使用率1.7%,-
6213,聯茂,C.外資連買5天,2/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉,✓ 營收YoY成長42.2% | 季增率QoQ(15.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比27.62% | ✓ 融資使用率19.5%,-
3017,奇鋐,C.外資連買5天,2/7,✓ MACD零軸上金叉 | ✓ 量價同步強勢,✓ 營收YoY成長150.0% | 季增率QoQ(10.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比10.50% | ✓ 融資使用率4.3%,-
2886,兆豐金,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,1/7,✓ KD起漲區金叉,✓ 營收YoY成長20.1% | 季增率QoQ(0.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比57.52% | ✓ 融資使用率0.1%,-
7631,聚賢研發-創,C.外資連買5天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長193.9% | 季增率QoQ(106.9%) | ✓ 5年EPS均為正 | ❌ 連續發股利不滿5年 | 法人本日買超比15.15% | ✓ 融資使用率6.3%,-
6277,宏正,C.外資連買5天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長12.8% | 季增率QoQ(4.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比10.43% | ✓ 融資使用率1.5%,-
8996,高力,B.投信連買4天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長317.2% | 季增率QoQ(51.1%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比5.57%,⚠️ 融資使用率25.2%
3037,欣興,C.外資連買5天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長34.5% | 季增率QoQ(6.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.82% | ✓ 融資使用率9.0%,-
2801,彰銀,C.外資連買5天,1/7,✓ 均線多頭排列,✓ 營收YoY成長18.5% | 季增率QoQ(1.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比3.68% | ✓ 融資使用率0.3%,-
9946,三發地產,C.外資連買5天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長28125.5% | 季增率QoQ(3834.9%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比3.09% | ✓ 融資使用率1.1%,-
2884,玉山金,B.投信連買4天,1/7,✓ 均線多頭排列,✓ 營收YoY成長40.5% | 季增率QoQ(2.9%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-0.57% | ✓ 融資使用率0.1%,-
6805,富世達,B.投信連買4天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長115.8% | 季增率QoQ(9.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-3.92% | ✓ 融資使用率17.7%,-
2887,台新新光金,B.投信連買4天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長117.7% | 季增率QoQ(16.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-12.46% | ✓ 融資使用率0.6%,-
2360,致茂,C.外資連買5天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長72.1% | 季增率QoQ(47.3%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-14.57% | ✓ 融資使用率1.3%,-
2855,統一證,B.投信連買4天,1/7,✓ MACD零軸上金叉,✓ 營收YoY成長373.5% | 季增率QoQ(1.2%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比-17.46% | ✓ 融資使用率1.2%,-
