日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-04-09,2885,元大金,A.外投同買3天 / B.投信連買4天,3262173.0,2949340.0,19.59
2026-04-09,2886,兆豐金,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,2866462.0,18563917.0,58.04
2026-04-09,3045,台灣大,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,1029319.0,4513490.0,64.37
2026-04-09,4958,臻鼎-KY,A.外投同買3天 / B.投信連買4天,658752.0,2162765.0,7.39
2026-04-09,2382,廣達,A.外投同買3天 / B.投信連買4天,419627.0,14888939.0,31.77
2026-04-09,2897,王道銀行,A.外投同買3天 / C.外資連買5天,26000.0,1294000.0,44.87
2026-04-09,2820,華票,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,17000.0,89000.0,14.16
2026-04-09,2501,國建,A.外投同買3天 / B.投信連買4天,16000.0,113000.0,11.75
2026-04-09,2851,中再保,A.外投同買3天 / C.外資連買5天,12000.0,66000.0,6.88
2026-04-09,6944,兆聯實業,A.外投同買3天,10000.0,188451.0,9.4
2026-04-09,8070,長華*,A.外投同買3天 / B.投信連買4天,4000.0,1075000.0,23.69
2026-04-09,6285,啟碁,B.投信連買4天,3731000.0,-1015652.0,4.59
2026-04-09,2303,聯電,B.投信連買4天,2932202.0,-3336167.0,-0.31
2026-04-09,2882,國泰金,B.投信連買4天,2320399.0,-1652310.0,2.76
2026-04-09,2881,富邦金,B.投信連買4天,1352614.0,-7629164.0,-29.84
2026-04-09,2356,英業達,B.投信連買4天,1316498.0,1600448.0,14.27
2026-04-09,2376,技嘉,B.投信連買4天,793655.0,2205107.0,25.38
2026-04-09,8046,南電,B.投信連買4天,777000.0,4210260.0,19.94
2026-04-09,2412,中華電,B.投信連買4天,682736.0,-392175.0,0.36
2026-04-09,2368,金像電,B.投信連買4天,297001.0,1269089.0,17.73
2026-04-09,2467,志聖,B.投信連買4天,238001.0,-478613.0,-5.13
2026-04-09,6715,嘉基,B.投信連買4天,237000.0,4000.0,9.62
2026-04-09,2379,瑞昱,B.投信連買4天,166496.0,680638.0,26.8
2026-04-09,3665,貿聯-KY,B.投信連買4天,83018.0,163274.0,9.34
2026-04-09,2383,台光電,B.投信連買4天,63629.0,95010.0,6.32
2026-04-09,9904,寶成,B.投信連買4天,25492.0,-3980999.0,-60.11
2026-04-09,1434,福懋,B.投信連買4天,22000.0,-15000.0,-1.57
2026-04-09,7769,鴻勁,B.投信連買4天,20000.0,-15849.0,1.34
2026-04-09,2357,華碩,B.投信連買4天,13103.0,-103056.0,-3.19
2026-04-09,8150,南茂,B.投信連買4天,12000.0,116150.0,1.97
2026-04-09,9910,豐泰,B.投信連買4天,6000.0,-681219.0,-37.11
2026-04-09,2492,華新科,B.投信連買4天,4000.0,-225249.0,-5.11
2026-04-09,2855,統一證,B.投信連買4天,3000.0,-4695000.0,-36.61
2026-04-09,2455,全新,B.投信連買4天,2000.0,145491.0,2.6
2026-04-09,8454,富邦媒,B.投信連買4天,400.0,-48572.0,-18.0
2026-04-09,3533,嘉澤,C.外資連買5天,28896.0,178871.0,8.37
2026-04-09,8464,億豐,C.外資連買5天,17000.0,33576.0,7.21
2026-04-09,1907,永豐餘,C.外資連買5天,2000.0,40000.0,2.22
2026-04-09,1108,幸福,C.外資連買5天,0.0,119000.0,28.56
2026-04-09,1219,福壽,C.外資連買5天,0.0,324000.0,25.89
2026-04-09,1301,台塑,C.外資連買5天,0.0,3325024.0,14.92
2026-04-09,1444,力麗,C.外資連買5天,0.0,3000.0,-2.26
2026-04-09,1449,佳和,C.外資連買5天,0.0,745000.0,14.94
2026-04-09,1538,正峰,C.外資連買5天,0.0,2000.0,8.86
2026-04-09,1568,倉佑,C.外資連買5天,0.0,7000.0,8.37
2026-04-02,1589,永冠-KY,C.外資連買5天,0.0,1521952.0,18.05
2026-04-09,1707,葡萄王,C.外資連買5天,0.0,8000.0,8.89
2026-04-09,1735,日勝化,C.外資連買5天,0.0,150000.0,22.4
2026-04-09,1737,臺鹽,C.外資連買5天,0.0,6000.0,15.36
2026-04-09,1805,寶徠,C.外資連買5天,0.0,2000.0,3.8
2026-04-09,1903,士紙,C.外資連買5天,0.0,1002.0,-2.57
2026-04-09,1909,榮成,C.外資連買5天,0.0,95000.0,5.01
2026-04-09,2015,豐興,C.外資連買5天,0.0,72000.0,40.5
2026-04-09,2030,彰源,C.外資連買5天,0.0,121000.0,25.61
2026-04-09,2243,宏旭-KY,C.外資連買5天,0.0,192000.0,9.86
2026-04-09,2247,汎德永業,C.外資連買5天,0.0,3000.0,14.73
2026-04-09,2397,友通,C.外資連買5天,0.0,39000.0,8.54
2026-04-09,2524,京城,C.外資連買5天,0.0,26000.0,38.06
2026-04-09,2548,華固,C.外資連買5天,0.0,1042784.0,25.46
2026-04-09,2705,六福,C.外資連買5天,0.0,28000.0,9.6
2026-04-09,2739,寒舍,C.外資連買5天,0.0,11000.0,23.79
2026-04-09,2867,三商壽,C.外資連買5天,0.0,5984000.0,30.0
2026-04-09,2901,欣欣,C.外資連買5天,0.0,5000.0,14.07
2026-04-09,3557,嘉威,C.外資連買5天,0.0,1000.0,4.59
2026-04-09,4566,時碩工業,C.外資連買5天,0.0,189999.0,14.91
2026-04-09,4590,富田-創,C.外資連買5天,0.0,85000.0,42.64
2026-04-09,4737,華廣,C.外資連買5天,0.0,79000.0,28.59
2026-04-09,6269,台郡,C.外資連買5天,0.0,1749679.0,40.16
2026-04-09,6491,晶碩,C.外資連買5天,0.0,275000.0,58.94
2026-04-09,6753,龍德造船,C.外資連買5天,0.0,25050.0,0.03
2026-04-09,6906,現觀科,C.外資連買5天,0.0,2000.0,4.57
2026-04-09,6914,阜爾運通,C.外資連買5天,0.0,30000.0,30.68
2026-04-09,8103,瀚荃,C.外資連買5天,0.0,298970.0,24.66
2026-04-09,8499,鼎炫-KY,C.外資連買5天,0.0,18000.0,28.1
2026-04-09,9937,全國,C.外資連買5天,0.0,6000.0,26.47
2026-04-09,9942,茂順,C.外資連買5天,0.0,12000.0,15.29
2026-04-09,6670,復盛應用,C.外資連買5天,-6615.0,196000.0,32.28
