代號,名稱,分類,技術面得分,技術面檢核,檢核結果,警示
6206,飛捷,C.外資連買5天,6/7,✓ 均線多頭排列 | ✓ 帶量長紅突破 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長5.1% | 季增率QoQ(5.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比34.94% | ✓ 融資使用率9.2%,-
2301,光寶科,C.外資連買5天,6/7,✓ 均線多頭排列 | ✓ 帶量長紅突破 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長16.2% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比23.07% | ✓ 融資使用率3.5%,警示季增率QoQ為負(-6.5%)
5285,界霖,C.外資連買5天,6/7,✓ 均線多頭排列 | ✓ 帶量長紅突破 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長11.7% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比11.95% | ✓ 融資使用率19.2%,警示季增率QoQ為負(-0.5%)
5269,祥碩,B.投信連買4天,6/7,✓ 均線多頭排列 | ✓ 帶量長紅突破 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長58.3% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比7.45% | ✓ 融資使用率16.3%,警示季增率QoQ為負(-6.2%)
3583,辛耘,B.投信連買4天,6/7,✓ 均線多頭排列 | ✓ 帶量長紅突破 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長14.4% | 季增率QoQ(5.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-8.19% | ✓ 融資使用率13.4%,-
6285,啟碁,C.外資連買5天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長11.0% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比15.83% | ✓ 融資使用率15.3%,警示季增率QoQ為負(-1.0%)
2303,聯電,B.投信連買4天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長5.3% | 季增率QoQ(1.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比13.08% | ✓ 融資使用率2.7%,-
6669,緯穎,B.投信連買4天,5/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長121.9% | 季增率QoQ(4.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比-7.36% | ✓ 融資使用率4.9%,-
2408,南亞科,B.投信連買4天,4/7,✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線 | ✓ 量價同步強勢,✓ 營收YoY成長608.0% | 季增率QoQ(75.8%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比13.26% | ✓ 融資使用率14.0%,-
2395,研華,C.外資連買5天,4/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線,✓ 營收YoY成長23.1% | 季增率QoQ(6.7%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比9.43% | ✓ 融資使用率1.0%,-
9944,新麗,C.外資連買5天,4/7,✓ 均線多頭排列 | ✓ MACD零軸上金叉 | ✓ 布林帶量開口 | 🔥 突破季頸線,✓ 營收YoY成長40.7% | 季增率QoQ(24.5%) | 法人本日買超比1.17%,⚠️ 融資使用率22.1%
