stock_id,name,foreign,trust,dealer,volume,total_inst,inst_buy_ratio,date
1432,大魯閣,-97000.0,0.0,2000.0,381773.0,-95000.0,-24.88,2026-06-15
1434,福懋,1063380.0,0.0,54966.0,2034409.0,1118346.0,54.97,2026-06-15
1436,華友聯,-14702.0,0.0,0.0,373609.0,-14702.0,-3.94,2026-06-15
1437,勤益控,-7900.0,0.0,3000.0,95562.0,-4900.0,-5.13,2026-06-15
1438,三地開發,-13000.0,0.0,0.0,626591.0,-13000.0,-2.07,2026-06-15
1439,雋揚,2897.0,0.0,2000.0,18956.0,4897.0,25.83,2026-06-15
1440,南紡,257535.0,0.0,51203.0,2701436.0,308738.0,11.43,2026-06-15
1441,大東,2600.0,0.0,0.0,55091.0,2600.0,4.72,2026-06-15
1442,名軒,-110299.0,0.0,-1.0,427743.0,-110300.0,-25.79,2026-06-15
1443,立益物流,19400.0,0.0,2000.0,47314.0,21400.0,45.23,2026-06-15
1444,力麗,-257115.0,0.0,12000.0,2193730.0,-245115.0,-11.17,2026-06-15
1445,大宇,-1700.0,0.0,3000.0,70584.0,1300.0,1.84,2026-06-15
1446,宏和,30300.0,0.0,3000.0,312580.0,33300.0,10.65,2026-06-15
1447,力鵬,148647.0,0.0,2000.0,1392461.0,150647.0,10.82,2026-06-15
1449,佳和,-28802.0,0.0,0.0,1705951.0,-28802.0,-1.69,2026-06-15
1451,年興,11000.0,0.0,7000.0,139349.0,18000.0,12.92,2026-06-15
1452,宏益,3400.0,0.0,3000.0,95833.0,6400.0,6.68,2026-06-15
1453,大將,6200.0,0.0,0.0,99426.0,6200.0,6.24,2026-06-15
1454,台富,10300.0,0.0,1000.0,30584.0,11300.0,36.95,2026-06-15
1455,集盛,100400.0,0.0,9094.0,1769514.0,109494.0,6.19,2026-06-15
1456,怡華,18000.0,0.0,-3000.0,212181.0,15000.0,7.07,2026-06-15
1457,宜進,-18800.0,0.0,20000.0,181189.0,1200.0,0.66,2026-06-15
1459,聯發,24700.0,0.0,8000.0,85790.0,32700.0,38.12,2026-06-15
1460,宏遠,-65900.0,0.0,3000.0,576323.0,-62900.0,-10.91,2026-06-15
1463,強盛新,6037.0,0.0,4000.0,22555.0,10037.0,44.5,2026-06-15
1464,得力,46460.0,0.0,2000.0,430547.0,48460.0,11.26,2026-06-15
1465,偉全,13100.0,0.0,6000.0,73869.0,19100.0,25.86,2026-06-15
1466,聚隆,-65900.0,0.0,0.0,278867.0,-65900.0,-23.63,2026-06-15
1467,南緯,-3300.0,0.0,0.0,290793.0,-3300.0,-1.13,2026-06-15
1468,昶和,4567.0,0.0,-2000.0,57678.0,2567.0,4.45,2026-06-15
1470,大統新創,314.0,0.0,-314.0,314.0,0.0,0.0,2026-06-15
1471,首利,203750.0,0.0,-1000.0,589813.0,202750.0,34.38,2026-06-15
1472,三洋實業,5500.0,0.0,1000.0,27073.0,6500.0,24.01,2026-06-15
1473,台南,7000.0,0.0,1000.0,52884.0,8000.0,15.13,2026-06-15
1474,弘裕,4300.0,0.0,1000.0,31816.0,5300.0,16.66,2026-06-15
1475,業旺,-1690.0,0.0,0.0,33323.0,-1690.0,-5.07,2026-06-15
1476,儒鴻,-1439124.0,-13117.0,12601.0,2555067.0,-1439640.0,-56.34,2026-06-15
1477,聚陽,-565741.0,-937206.0,-15021.0,3229206.0,-1517968.0,-47.01,2026-06-15
1503,士電,634334.0,-2818.0,21386.0,2835548.0,652902.0,23.03,2026-06-15
1504,東元,-752186.0,165487.0,354801.0,22331463.0,-231898.0,-1.04,2026-06-15
1506,正道,-1812.0,0.0,1000.0,513530.0,-812.0,-0.16,2026-06-15
1512,瑞利,9000.0,0.0,0.0,148140.0,9000.0,6.08,2026-06-15
1513,中興電,1904230.0,-14397.0,333258.0,6263080.0,2223091.0,35.5,2026-06-15
1514,亞力,-399545.0,-3000.0,6397.0,3092853.0,-396148.0,-12.81,2026-06-15
1515,力山,24898.0,0.0,903.0,554326.0,25801.0,4.65,2026-06-15
1516,川飛,400.0,0.0,49.0,100444.0,449.0,0.45,2026-06-15
1517,利奇,87200.0,0.0,-1001.0,373868.0,86199.0,23.06,2026-06-15
1519,華城,-401678.0,-28872.0,2546.0,2620945.0,-428004.0,-16.33,2026-06-15
1521,大億,-11200.0,0.0,2000.0,44887.0,-9200.0,-20.5,2026-06-15
1522,堤維西,132200.0,0.0,4000.0,903446.0,136200.0,15.08,2026-06-15
1524,耿鼎,143120.0,0.0,4000.0,785561.0,147120.0,18.73,2026-06-15
1525,江申,1335.0,0.0,3000.0,9388.0,4335.0,46.18,2026-06-15
1526,日馳,600.0,0.0,0.0,94131.0,600.0,0.64,2026-06-15
1527,鑽全,19266.0,0.0,8000.0,209561.0,27266.0,13.01,2026-06-15
1528,恩德,-160561.0,0.0,2749.0,2281614.0,-157812.0,-6.92,2026-06-15
1529,樂事綠能,63579.0,0.0,982.0,426995.0,64561.0,15.12,2026-06-15
1530,亞崴,9000.0,0.0,930.0,107758.0,9930.0,9.22,2026-06-15
1531,高林股,52900.0,0.0,1000.0,172927.0,53900.0,31.17,2026-06-15
1532,勤美,195108.0,0.0,4000.0,1352290.0,199108.0,14.72,2026-06-15
1533,車王電,25000.0,0.0,5000.0,234696.0,30000.0,12.78,2026-06-15
1535,中宇,13301.0,0.0,0.0,88902.0,13301.0,14.96,2026-06-15
1536,和大,544434.0,0.0,-9031.0,1100921.0,535403.0,48.63,2026-06-15
1537,廣隆,8795.0,0.0,-2001.0,58784.0,6794.0,11.56,2026-06-15
1539,巨庭,-14441.0,0.0,4000.0,92862.0,-10441.0,-11.24,2026-06-15
1540,喬福,79200.0,0.0,2000.0,232023.0,81200.0,35.0,2026-06-15
1541,錩泰,17273.0,0.0,-1000.0,41423.0,16273.0,39.28,2026-06-15
1558,伸興,-11774.0,0.0,1993.0,61359.0,-9781.0,-15.94,2026-06-15
1560,中砂,-15996.0,270000.0,48600.0,2024876.0,302604.0,14.94,2026-06-15
1563,巧新,-230700.0,0.0,116911.0,1154641.0,-113789.0,-9.85,2026-06-15
1568,倉佑,-30900.0,0.0,6000.0,463125.0,-24900.0,-5.38,2026-06-15
1582,信錦,-1986250.0,0.0,15713.0,5166645.0,-1970537.0,-38.14,2026-06-15
1583,程泰,0.0,0.0,2000.0,37246.0,2000.0,5.37,2026-06-15
1587,吉茂,39800.0,0.0,-391.0,279911.0,39409.0,14.08,2026-06-15
1590,亞德客-KY,59010.0,1000.0,-4894.0,575741.0,55116.0,9.57,2026-06-15
1597,直得,-147147.0,0.0,4490.0,1482974.0,-142657.0,-9.62,2026-06-15
1598,岱宇,146870.0,0.0,15000.0,293580.0,161870.0,55.14,2026-06-15
1603,華電,90000.0,0.0,1000.0,412466.0,91000.0,22.06,2026-06-15
1604,聲寶,16673.0,0.0,15000.0,594529.0,31673.0,5.33,2026-06-15
1605,華新,2686267.0,220233.0,3044547.0,74844979.0,5951047.0,7.95,2026-06-15
1608,華榮,1071500.0,0.0,20763.0,3779860.0,1092263.0,28.9,2026-06-15
1609,大亞,900145.0,0.0,106267.0,5680150.0,1006412.0,17.72,2026-06-15
1611,中電,-51126.0,0.0,-32170.0,1431440.0,-83296.0,-5.82,2026-06-15
1612,宏泰,292200.0,0.0,68816.0,1388849.0,361016.0,25.99,2026-06-15
1614,三洋電,16000.0,0.0,1000.0,58247.0,17000.0,29.19,2026-06-15
1615,大山,26000.0,0.0,1000.0,203881.0,27000.0,13.24,2026-06-15
1616,億泰,-1259.0,0.0,3750.0,433504.0,2491.0,0.57,2026-06-15
1617,榮星,43700.0,0.0,-327.0,164667.0,43373.0,26.34,2026-06-15
1618,合機,307315.0,0.0,-1040.0,1587027.0,306275.0,19.3,2026-06-15
1623,大東電,43000.0,0.0,-14000.0,150925.0,29000.0,19.21,2026-06-15
1626,艾美特-KY,24500.0,0.0,0.0,59612.0,24500.0,41.1,2026-06-15
1702,南僑,-22000.0,0.0,4350.0,272810.0,-17650.0,-6.47,2026-06-15
1707,葡萄王,-130500.0,0.0,953.0,446369.0,-129547.0,-29.02,2026-06-15
1708,東鹼,-2217880.0,0.0,-51593.0,13791213.0,-2269473.0,-16.46,2026-06-15
1709,和益,51660.0,0.0,6000.0,1553034.0,57660.0,3.71,2026-06-15
1710,東聯,218122.0,0.0,-36507.0,3630747.0,181615.0,5.0,2026-06-15
