日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-07-09,5876,上海商銀,A.外投同買3天 / B.投信連買4天,467000.0,2459927.0,33.28
2026-07-09,2105,正新,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,76645.0,1761919.0,31.65
2026-07-09,1216,統一,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,45465.0,1192894.0,8.44
2026-07-09,8016,矽創,A.外投同買3天 / C.外資連買5天,15206.0,333903.0,12.74
2026-07-09,2912,統一超,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,10503.0,1085174.0,37.1
2026-07-09,3596,智易,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,5000.0,62000.0,5.27
2026-07-09,2606,裕民,A.外投同買3天 / C.外資連買5天,3000.0,656163.0,23.26
2026-07-09,2207,和泰車,A.外投同買3天 / C.外資連買5天,1945.0,6313.0,2.09
2026-07-09,1303,南亞,B.投信連買4天,8116730.0,-11685377.0,-1.78
2026-07-09,2891,中信金,B.投信連買4天,5583844.0,-8467526.0,-3.51
2026-07-09,1402,遠東新,B.投信連買4天,4816398.0,-9589000.0,-29.53
2026-07-09,3711,日月光投控,B.投信連買4天,4030810.0,-699808.0,12.01
2026-07-09,2356,英業達,B.投信連買4天,2054120.0,3747563.0,4.05
2026-07-09,8046,南電,B.投信連買4天,1724000.0,-162488.0,7.0
2026-07-09,2382,廣達,B.投信連買4天,1270943.0,-4505639.0,-21.75
2026-07-09,3034,聯詠,B.投信連買4天,959875.0,-657363.0,2.54
2026-07-09,2633,台灣高鐵,B.投信連買4天,637000.0,-979000.0,-7.91
2026-07-09,2542,興富發,B.投信連買4天,534000.0,-578283.0,-0.68
2026-07-09,3532,台勝科,B.投信連買4天,496000.0,-852425.0,-6.63
2026-07-09,6213,聯茂,B.投信連買4天,492000.0,-2802816.0,-7.88
2026-07-09,2890,永豐金,B.投信連買4天,388354.0,-4675009.0,-15.71
2026-07-09,2855,統一證,B.投信連買4天,360842.0,-219323.0,3.84
2026-07-09,6669,緯穎,B.投信連買4天,348033.0,-426503.0,-2.24
2026-07-09,1477,聚陽,B.投信連買4天,306950.0,-14752.0,14.21
2026-07-09,6282,康舒,B.投信連買4天,300000.0,-7014103.0,-23.07
2026-07-09,2886,兆豐金,B.投信連買4天,274934.0,3521254.0,27.2
2026-07-09,2206,三陽工業,B.投信連買4天,269000.0,-48298.0,30.3
2026-07-09,2458,義隆,B.投信連買4天,237811.0,670747.0,14.46
2026-07-09,2006,東和鋼鐵,B.投信連買4天,237726.0,1693219.0,58.44
2026-07-09,5469,瀚宇博,B.投信連買4天,210000.0,-1192000.0,-47.47
2026-07-09,6278,台表科,B.投信連買4天,206000.0,-1505942.0,-18.17
2026-07-09,1102,亞泥,B.投信連買4天,187378.0,-8377102.0,-67.07
2026-07-09,2451,創見,B.投信連買4天,165000.0,-631045.0,-11.21
2026-07-09,2347,聯強,B.投信連買4天,156050.0,-4281710.0,-48.22
2026-07-09,9917,中保科,B.投信連買4天,156000.0,192230.0,51.71
2026-07-09,2851,中再保,B.投信連買4天,151000.0,-327666.0,-11.17
2026-07-09,2610,華航,B.投信連買4天,130689.0,-15563411.0,-34.52
2026-07-09,6139,亞翔,B.投信連買4天,122000.0,-922913.0,-23.76
2026-07-09,2383,台光電,B.投信連買4天,120161.0,-420707.0,-14.21
2026-07-09,4967,十銓,B.投信連買4天,100000.0,-411623.0,-12.28
2026-07-09,8271,宇瞻,B.投信連買4天,89000.0,-394837.0,-16.84
2026-07-09,2897,王道銀行,B.投信連買4天,66000.0,-1278000.0,-27.51
2026-07-09,1608,華榮,B.投信連買4天,64076.0,-69188.0,-1.55
2026-07-09,2455,全新,B.投信連買4天,57000.0,-506618.0,-10.53
2026-07-09,1409,新纖,B.投信連買4天,54000.0,-14440688.0,-18.96
2026-07-09,9910,豐泰,B.投信連買4天,49252.0,-59102.0,-1.2
2026-07-09,7722,LINEPAY,B.投信連買4天,45000.0,-22369.0,13.25
2026-07-09,7769,鴻勁,B.投信連買4天,45000.0,-6705.0,7.06
2026-07-09,2646,星宇航空,B.投信連買4天,44000.0,-526962.0,-12.27
2026-07-09,5522,遠雄,B.投信連買4天,41271.0,259050.0,41.87
2026-07-09,2371,大同,B.投信連買4天,35000.0,3584044.0,40.95
2026-07-09,2501,國建,B.投信連買4天,28000.0,-149976.0,-4.79
2026-07-09,2441,超豐,B.投信連買4天,27000.0,3252550.0,25.49
2026-07-09,3665,貿聯-KY,B.投信連買4天,25239.0,-163636.0,-11.31
2026-07-09,1326,台化,B.投信連買4天,24000.0,-23859329.0,-41.27
2026-07-09,1229,聯華,B.投信連買4天,22000.0,-91890.0,-3.92
2026-07-09,2634,漢翔,B.投信連買4天,22000.0,2776512.0,8.88
2026-07-09,5434,崇越,B.投信連買4天,21117.0,-147000.0,-11.86
2026-07-09,2377,微星,B.投信連買4天,15000.0,5298648.0,27.34
2026-07-09,2345,智邦,B.投信連買4天,11050.0,-205622.0,-8.11
2026-07-09,2379,瑞昱,B.投信連買4天,10218.0,629804.0,11.46
2026-07-09,1907,永豐餘,B.投信連買4天,8650.0,-580840.0,-35.8
2026-07-09,2493,揚博,B.投信連買4天,7000.0,-468930.0,-9.15
2026-07-09,9914,美利達,B.投信連買4天,7000.0,22050.0,3.27
2026-07-09,9958,世紀鋼,B.投信連買4天,7000.0,-372000.0,-23.64
2026-07-09,2478,大毅,B.投信連買4天,6000.0,-900212.0,-11.97
2026-07-09,1795,美時,B.投信連買4天,5000.0,-598467.0,-18.73
