日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-07-07,2892,第一金,A.外投同買3天 / B.投信連買4天,7696185.0,12146074.0,48.43
2026-07-07,2890,永豐金,A.外投同買3天 / B.投信連買4天,2423254.0,8333437.0,32.66
2026-07-07,2885,元大金,A.外投同買3天 / B.投信連買4天,1630090.0,6337881.0,25.93
2026-07-07,2542,興富發,A.外投同買3天 / B.投信連買4天,633000.0,986480.0,18.91
2026-07-07,1477,聚陽,A.外投同買3天 / B.投信連買4天,396258.0,1645801.0,40.49
2026-07-07,2855,統一證,A.外投同買3天 / B.投信連買4天,270845.0,1845300.0,18.81
2026-07-07,2441,超豐,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,202000.0,234260.0,-0.85
2026-07-07,1216,統一,A.外投同買3天 / B.投信連買4天,176483.0,2777039.0,21.22
2026-07-07,2206,三陽工業,A.外投同買3天 / B.投信連買4天,136000.0,133641.0,42.88
2026-07-07,2105,正新,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,108570.0,4772319.0,40.36
2026-07-07,2897,王道銀行,A.外投同買3天 / B.投信連買4天,66000.0,1603833.0,33.45
2026-07-07,2912,統一超,A.外投同買3天 / B.投信連買4天,51493.0,58721.0,3.47
2026-07-07,2646,星宇航空,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,47000.0,1515065.0,35.0
2026-07-07,7722,LINEPAY,A.外投同買3天,43000.0,19678.0,42.21
2026-07-07,1795,美時,A.外投同買3天 / B.投信連買4天,5000.0,134465.0,4.09
2026-07-07,3596,智易,A.外投同買3天 / B.投信連買4天,5000.0,61609.0,2.36
2026-07-07,2886,兆豐金,B.投信連買4天,15016782.0,-4399075.0,35.45
2026-07-07,2352,佳世達,B.投信連買4天,7133000.0,-10231105.0,-5.3
2026-07-07,4904,遠傳,B.投信連買4天,6324383.0,-7499383.0,-4.45
2026-07-07,2618,長榮航,B.投信連買4天,6320192.0,14825671.0,31.17
2026-07-07,2356,英業達,B.投信連買4天,4825958.0,-5012970.0,1.18
2026-07-07,3045,台灣大,B.投信連買4天,4305221.0,-8257473.0,-18.66
2026-07-07,3706,神達,B.投信連買4天,4291000.0,-907760.0,12.94
2026-07-07,2347,聯強,B.投信連買4天,4241051.0,-10107542.0,-37.68
2026-07-07,1402,遠東新,B.投信連買4天,4058447.0,-11160354.0,-31.22
2026-07-07,3231,緯創,B.投信連買4天,3749541.0,-8749895.0,-13.72
2026-07-07,2412,中華電,B.投信連買4天,3326613.0,-11361064.0,-41.82
2026-07-07,2891,中信金,B.投信連買4天,2869653.0,-21422034.0,-29.35
2026-07-07,2377,微星,B.投信連買4天,2374000.0,-645182.0,13.95
2026-07-07,8422,可寧衛*,B.投信連買4天,2344000.0,-2642417.0,-2.39
2026-07-07,2382,廣達,B.投信連買4天,2343884.0,-4991425.0,-15.77
