代號,名稱,分類,狀態,檢核結果,警示
4766,南寶,C.外資連買5天,✅ 通過,✓ 營收YoY成長10.2% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比77.74% | ✓ 融資使用率4.5%,警示季增率QoQ為負(-0.2%)
6491,晶碩,C.外資連買5天,✅ 通過,✓ 營收YoY成長6.0% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比51.55% | ✓ 融資使用率2.5%,警示季增率QoQ為負(-4.5%)
2539,櫻花建,C.外資連買5天,✅ 通過,✓ 營收YoY成長397.7% | 季增率QoQ(50.7%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比51.50% | ✓ 融資使用率0.8%,-
2206,三陽工業,B.投信連買4天,✅ 通過,✓ 營收YoY成長16.2% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比44.38% | ✓ 融資使用率2.7%,警示季增率QoQ為負(-0.5%)
2478,大毅,C.外資連買5天,✅ 通過,✓ 營收YoY成長38.0% | 季增率QoQ(4.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比39.72%,⚠️ 融資使用率34.6%
5269,祥碩,B.投信連買4天,✅ 通過,✓ 營收YoY成長58.3% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比38.85% | ✓ 融資使用率13.0%,警示季增率QoQ為負(-6.2%)
1216,統一,B.投信連買4天,✅ 通過,✓ 營收YoY成長0.5% | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比33.63% | ✓ 融資使用率0.1%,警示季增率QoQ為負(-2.2%)
3596,智易,B.投信連買4天,✅ 通過,✓ 營收YoY成長7.4% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比31.79% | ✓ 融資使用率3.3%,警示季增率QoQ為負(-7.2%)
3533,嘉澤,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長31.5% | 季增率QoQ(18.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比30.74% | ✓ 融資使用率2.1%,-
1476,儒鴻,B.投信連買4天,✅ 通過,✓ 營收YoY成長7.5% | 季增率QoQ(1.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比28.71% | ✓ 融資使用率1.4%,-
2812,台中銀,C.外資連買5天,✅ 通過,✓ 營收YoY成長8.5% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比26.74% | ✓ 融資使用率0.3%,警示季增率QoQ為負(-0.1%)
2436,偉詮電,B.投信連買4天,✅ 通過,✓ 營收YoY成長60.6% | 季增率QoQ(15.6%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比25.21% | ✓ 融資使用率14.3%,-
