日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-02-11,2449,京元電子,A.外投同買3天 / B.投信連買4天,498000.0,4808463.0,22.39
2026-02-11,3711,日月光投控,A.外投同買3天 / B.投信連買4天,352000.0,3876334.0,18.9
2026-02-11,2345,智邦,A.外投同買3天 / B.投信連買4天,318500.0,665905.0,12.2
2026-02-11,2313,華通,B.投信連買4天,2116000.0,5144041.0,8.6
2026-02-11,2330,台積電,B.投信連買4天,1138230.0,-4941461.0,-5.83
2026-02-11,3037,欣興,B.投信連買4天,965000.0,-6789105.0,-13.43
2026-02-11,2383,台光電,B.投信連買4天,717000.0,-1205173.0,-9.58
2026-02-11,2308,台達電,B.投信連買4天,684000.0,1445691.0,16.56
2026-02-11,3189,景碩,B.投信連買4天,316000.0,6801176.0,19.16
2026-02-11,3026,禾伸堂,B.投信連買4天,227000.0,-163999.0,8.75
2026-02-11,2368,金像電,B.投信連買4天,209000.0,-1535203.0,-13.27
2026-02-11,2542,興富發,C.外資連買5天,564000.0,2289908.0,44.38
2026-02-11,2883,凱基金,C.外資連買5天,425000.0,43057066.0,50.95
2026-02-11,2880,華南金,C.外資連買5天,367000.0,8434723.0,32.39
2026-02-11,7769,鴻勁,C.外資連買5天,194001.0,641660.0,38.17
2026-02-11,1110,東泥,C.外資連買5天,0.0,48000.0,32.53
2026-02-11,1219,福壽,C.外資連買5天,0.0,90001.0,24.77
2026-02-11,1232,大統益,C.外資連買5天,0.0,16000.0,13.84
2026-02-11,1432,大魯閣,C.外資連買5天,0.0,69005.0,13.84
2026-02-11,1463,強盛新,C.外資連買5天,0.0,54000.0,75.33
2026-02-11,1474,弘裕,C.外資連買5天,0.0,17000.0,20.05
2026-02-11,1512,瑞利,C.外資連買5天,0.0,37000.0,33.0
2026-02-11,1516,川飛,C.外資連買5天,0.0,2000.0,18.64
2026-02-11,1530,亞崴,C.外資連買5天,0.0,6000.0,21.07
2026-02-11,1904,正隆,C.外資連買5天,0.0,711000.0,45.99
2026-02-11,2007,燁興,C.外資連買5天,0.0,93000.0,32.12
2026-02-11,2025,千興,C.外資連買5天,0.0,27955.0,13.75
2026-02-11,2032,新鋼,C.外資連買5天,0.0,116000.0,22.64
2026-02-11,2108,南帝,C.外資連買5天,0.0,207000.0,49.36
2026-02-11,2429,銘旺科,C.外資連買5天,0.0,62000.0,17.35
2026-02-11,2727,王品,C.外資連買5天,0.0,15004.0,6.31
2026-02-11,2820,華票,C.外資連買5天,0.0,2389000.0,61.77
2026-02-11,2851,中再保,C.外資連買5天,0.0,470000.0,43.78
2026-02-11,2867,三商壽,C.外資連買5天,0.0,19765000.0,65.94
2026-02-11,2897,王道銀行,C.外資連買5天,0.0,6198000.0,42.0
2026-02-11,2915,潤泰全,C.外資連買5天,0.0,357000.0,38.21
2026-02-11,4108,懷特,C.外資連買5天,0.0,64000.0,20.01
2026-02-11,4306,炎洲,C.外資連買5天,0.0,364000.0,52.12
2026-02-11,4722,國精化,C.外資連買5天,0.0,304000.0,11.48
2026-02-11,5215,科嘉-KY,C.外資連買5天,0.0,23000.0,37.97
2026-02-11,5521,工信,C.外資連買5天,0.0,237000.0,5.47
2026-02-11,6205,詮欣,C.外資連買5天,0.0,7000.0,3.69
2026-02-11,6216,居易,C.外資連買5天,0.0,49000.0,39.48
2026-02-11,6666,羅麗芬-KY,C.外資連買5天,0.0,3000.0,11.75
2026-02-11,6955,邦睿生技-創,C.外資連買5天,0.0,5000.0,33.11
2026-02-11,7610,聯友金屬-創,C.外資連買5天,0.0,128050.0,8.09
2026-02-11,7750,新代,C.外資連買5天,0.0,151451.0,17.84
2026-02-11,8367,建新國際,C.外資連買5天,0.0,23000.0,33.82
2026-02-11,9908,大台北,C.外資連買5天,0.0,146000.0,58.63
2026-02-11,9911,櫻花,C.外資連買5天,0.0,306000.0,46.35
2026-02-11,8462,柏文,C.外資連買5天,-1000.0,17000.0,22.08
2026-02-11,2204,中華,C.外資連買5天,-3000.0,2633787.0,59.19
2026-02-11,6442,光聖,C.外資連買5天,-5000.0,51675.0,4.93
2026-02-11,1560,中砂,C.外資連買5天,-7000.0,692900.0,25.51
2026-02-11,2801,彰銀,C.外資連買5天,-27000.0,6608058.0,38.14
2026-02-11,1590,亞德客-KY,C.外資連買5天,-50000.0,123622.0,7.61
2026-02-11,2890,永豐金,C.外資連買5天,-73000.0,19285671.0,38.38
2026-02-11,3044,健鼎,C.外資連買5天,-159000.0,93296.0,-3.94
2026-02-11,9904,寶成,C.外資連買5天,-275000.0,1852459.0,11.15
2026-02-11,4938,和碩,C.外資連買5天,-292000.0,1015514.0,0.58
2026-02-11,2886,兆豐金,C.外資連買5天,-298000.0,12662066.0,43.47
2026-02-11,4904,遠傳,C.外資連買5天,-567000.0,845181.0,4.96
2026-02-11,1102,亞泥,C.外資連買5天,-832000.0,3236683.0,14.64
2026-02-11,2610,華航,C.外資連買5天,-836000.0,8993256.0,23.89
2026-02-11,5876,上海商銀,C.外資連買5天,-950000.0,2199994.0,1.09
2026-02-11,2887,台新新光金,C.外資連買5天,-1068000.0,28066767.0,29.06
2026-02-11,2603,長榮,C.外資連買5天,-1583000.0,2404366.0,3.89
2026-02-11,2618,長榮航,C.外資連買5天,-1957000.0,11421556.0,23.16
