日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-08-18,2886,兆豐金,A.外投同買3天 / B.投信連買4天,12352505.0,10202794.0,53.97
2026-08-18,2609,陽明,A.外投同買3天 / B.投信連買4天,121559.0,14344696.0,17.53
2026-08-18,2887,台新新光金,B.投信連買4天,25106438.0,-27653790.0,-4.21
2026-08-18,2883,凱基金,B.投信連買4天,22147264.0,-27234113.0,-10.32
2026-08-18,2884,玉山金,B.投信連買4天,18674309.0,-14426240.0,8.78
2026-08-18,2890,永豐金,B.投信連買4天,13974047.0,-8148892.0,18.82
2026-08-18,2892,第一金,B.投信連買4天,13662769.0,-1562981.0,29.91
2026-08-18,3532,台勝科,B.投信連買4天,2131000.0,-2408879.0,-2.59
2026-08-18,2542,興富發,B.投信連買4天,883000.0,9866323.0,66.02
2026-08-18,2633,台灣高鐵,B.投信連買4天,840000.0,-1281870.0,-15.58
2026-08-18,2347,聯強,B.投信連買4天,654000.0,-2000168.0,-37.34
2026-08-18,6805,富世達,B.投信連買4天,619000.0,-476969.0,6.97
2026-08-18,2855,統一證,B.投信連買4天,613000.0,65891.0,25.3
2026-08-18,2474,可成,B.投信連買4天,377000.0,-562840.0,-9.57
2026-08-18,3044,健鼎,B.投信連買4天,327971.0,-99164.0,6.45
2026-08-18,1402,遠東新,B.投信連買4天,209705.0,7937559.0,73.65
2026-08-18,2105,正新,B.投信連買4天,191000.0,2803338.0,52.59
2026-08-18,3008,大立光,B.投信連買4天,113000.0,-142772.0,3.47
2026-08-18,8996,高力,B.投信連買4天,106000.0,-177078.0,-2.04
2026-08-18,9910,豐泰,B.投信連買4天,99000.0,-262851.0,-10.5
2026-08-18,9904,寶成,B.投信連買4天,98000.0,-4243134.0,-22.32
2026-08-18,8046,南電,B.投信連買4天,69000.0,-222255.0,-0.23
2026-08-18,1477,聚陽,B.投信連買4天,22000.0,-1322507.0,-33.62
2026-08-18,1476,儒鴻,B.投信連買4天,16842.0,-664769.0,-43.77
2026-08-18,2207,和泰車,B.投信連買4天,11000.0,-35554.0,-12.42
2026-08-18,3450,聯鈞,C.外資連買5天,1892000.0,1572664.0,15.2
2026-08-18,6213,聯茂,C.外資連買5天,486000.0,971561.0,45.41
2026-08-18,1216,統一,C.外資連買5天,349000.0,5570730.0,64.55
2026-08-18,3037,欣興,C.外資連買5天,122000.0,10676502.0,27.0
2026-08-18,1108,幸福,C.外資連買5天,0.0,8070.0,3.84
2026-08-18,1304,台聚,C.外資連買5天,0.0,143558.0,8.35
2026-08-18,1416,廣豐,C.外資連買5天,0.0,35435.0,6.66
2026-08-18,1440,南紡,C.外資連買5天,0.0,431521.0,19.45
2026-08-18,1470,大統新創,C.外資連買5天,0.0,1000.0,4.16
2026-08-18,1524,耿鼎,C.外資連買5天,0.0,76000.0,29.38
2026-08-18,1617,榮星,C.外資連買5天,0.0,99835.0,22.58
2026-08-18,1906,寶隆,C.外資連買5天,0.0,7692.0,16.63
2026-08-18,2114,鑫永銓,C.外資連買5天,0.0,5000.0,20.6
2026-08-18,2228,劍麟,C.外資連買5天,0.0,23000.0,26.34
2026-08-18,2359,所羅門,C.外資連買5天,0.0,44217.0,0.58
2026-08-18,2364,倫飛,C.外資連買5天,0.0,333000.0,27.97
2026-08-18,2420,新巨,C.外資連買5天,0.0,107017.0,12.15
2026-08-18,2457,飛宏,C.外資連買5天,0.0,126629.0,3.59
2026-08-18,2485,兆赫,C.外資連買5天,0.0,113414.0,4.74
2026-08-18,2852,第一保,C.外資連買5天,0.0,169240.0,47.7
2026-08-18,3043,科風,C.外資連買5天,0.0,13000.0,19.45
2026-08-18,3605,宏致,C.外資連買5天,0.0,4716828.0,37.9
2026-08-18,3679,新至陞,C.外資連買5天,0.0,19000.0,53.66
2026-08-18,4155,訊映,C.外資連買5天,0.0,3966.0,2.42
2026-08-18,4306,炎洲,C.外資連買5天,0.0,307162.0,25.01
2026-08-18,4590,富田-創,C.外資連買5天,0.0,114000.0,23.69
2026-08-18,4736,泰博,C.外資連買5天,0.0,24732.0,7.91
2026-08-18,4927,泰鼎-KY,C.外資連買5天,0.0,158616.0,9.1
2026-08-18,5538,東明-KY,C.外資連買5天,0.0,31000.0,26.68
2026-08-18,5607,遠雄港,C.外資連買5天,0.0,197500.0,21.49
2026-08-18,6108,競國,C.外資連買5天,0.0,1031457.0,29.51
2026-08-18,6133,金橋,C.外資連買5天,0.0,92058.0,22.69
2026-08-18,6271,同欣電,C.外資連買5天,0.0,325347.0,11.96
2026-08-18,6491,晶碩,C.外資連買5天,0.0,47740.0,19.24
2026-08-18,6781,AES-KY,C.外資連買5天,0.0,152122.0,27.73
2026-08-18,6949,沛爾生醫-創,C.外資連買5天,0.0,75738.0,32.4
