日期,代號,名稱,分類,今日投信,今日外資,買超比率
2026-03-26,3036,文曄,A.外投同買3天 / B.投信連買4天,1386941.0,976478.0,25.35
2026-03-26,4958,臻鼎-KY,A.外投同買3天 / C.外資連買5天,132679.0,9933667.0,25.44
2026-03-26,6415,矽力*-KY,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,63890.0,670991.0,7.53
2026-03-26,2313,華通,B.投信連買4天,4082607.0,22510070.0,17.07
2026-03-26,2891,中信金,B.投信連買4天,2831691.0,241969.0,14.39
2026-03-26,8046,南電,B.投信連買4天,2581791.0,4337448.0,24.8
2026-03-26,2882,國泰金,B.投信連買4天,1823923.0,-5129178.0,-23.31
2026-03-26,3533,嘉澤,B.投信連買4天,625956.0,-133070.0,15.41
2026-03-26,2467,志聖,B.投信連買4天,561965.0,-1068534.0,-6.18
2026-03-26,2451,創見,B.投信連買4天,554857.0,-62158.0,11.39
2026-03-26,2330,台積電,B.投信連買4天,547600.0,-5190747.0,-18.27
2026-03-26,3017,奇鋐,B.投信連買4天,430170.0,1488590.0,22.8
2026-03-26,2308,台達電,B.投信連買4天,386655.0,-1554559.0,-3.25
2026-03-26,3665,貿聯-KY,B.投信連買4天,305766.0,-197520.0,1.82
2026-03-26,6442,光聖,B.投信連買4天,275500.0,-478502.0,-4.76
2026-03-26,2385,群光,B.投信連買4天,186610.0,-355498.0,-3.51
2026-03-26,2345,智邦,B.投信連買4天,149147.0,865009.0,14.88
2026-03-26,2360,致茂,B.投信連買4天,70162.0,-145905.0,-1.12
2026-03-26,2211,長榮鋼,B.投信連買4天,67000.0,-12000.0,19.25
2026-03-26,6670,復盛應用,B.投信連買4天,58464.0,-250000.0,-58.29
2026-03-26,2383,台光電,B.投信連買4天,56577.0,463330.0,11.26
2026-03-26,4551,智伸科,B.投信連買4天,55000.0,-102000.0,-9.25
2026-03-26,2059,川湖,B.投信連買4天,47430.0,9569.0,9.27
2026-03-26,6781,AES-KY,B.投信連買4天,11941.0,-272830.0,-17.82
2026-03-26,6438,迅得,B.投信連買4天,1000.0,-99992.0,-4.69
2026-03-26,2374,佳能,C.外資連買5天,2089.0,136397.0,3.89
2026-03-26,2486,一詮,C.外資連買5天,973.0,25000.0,6.34
2026-03-26,3583,辛耘,C.外資連買5天,303.0,1106611.0,10.51
2026-03-26,1231,聯華食,C.外資連買5天,0.0,46000.0,13.21
2026-03-26,1338,廣華-KY,C.外資連買5天,0.0,1000.0,0.68
2026-03-26,1463,強盛新,C.外資連買5天,0.0,23000.0,35.41
2026-03-26,1736,喬山,C.外資連買5天,0.0,6905.0,3.34
2026-03-26,1905,華紙,C.外資連買5天,0.0,1290000.0,9.79
2026-03-26,2239,英利-KY,C.外資連買5天,0.0,29000.0,49.81
2026-03-26,2426,鼎元,C.外資連買5天,0.0,204000.0,4.53
2026-03-26,2429,銘旺科,C.外資連買5天,0.0,100000.0,32.73
2026-03-26,2485,兆赫,C.外資連買5天,0.0,1506330.0,12.27
2026-03-26,2501,國建,C.外資連買5天,0.0,858000.0,34.45
2026-03-26,2548,華固,C.外資連買5天,0.0,1448575.0,47.87
2026-03-26,2727,王品,C.外資連買5天,0.0,36000.0,9.55
2026-03-26,2851,中再保,C.外資連買5天,0.0,604000.0,15.61
2026-03-26,3040,遠見,C.外資連買5天,0.0,106000.0,18.42
2026-03-26,3054,立萬利,C.外資連買5天,0.0,24000.0,16.14
2026-03-26,3312,弘憶股,C.外資連買5天,0.0,165000.0,29.93
2026-03-26,3356,奇偶,C.外資連買5天,0.0,22002.0,7.18
2026-03-26,3712,永崴投控,C.外資連買5天,0.0,151000.0,41.74
2026-03-26,5515,建國,C.外資連買5天,0.0,7000.0,1.21
2026-03-26,6108,競國,C.外資連買5天,0.0,47000.0,25.86
2026-03-26,6272,驊陞,C.外資連買5天,0.0,4000.0,1.08
2026-03-26,6668,中揚光,C.外資連買5天,0.0,10000.0,3.68
2026-03-26,6790,永豐實,C.外資連買5天,0.0,78000.0,23.76
2026-03-26,6796,晉弘,C.外資連買5天,0.0,15000.0,27.81
2026-03-26,6934,心誠鎂,C.外資連買5天,0.0,86000.0,9.65
2026-03-26,8162,微矽電子-創,C.外資連買5天,0.0,7000.0,10.79
2026-03-26,8442,威宏-KY,C.外資連買5天,0.0,5000.0,15.47
2026-03-26,8462,柏文,C.外資連買5天,0.0,121000.0,61.75
2026-03-26,9933,中鼎,C.外資連買5天,0.0,1587000.0,12.0
2026-03-26,9946,三發地產,C.外資連買5天,0.0,35000.0,27.13
2026-03-26,6206,飛捷,C.外資連買5天,-104.0,19000.0,5.76
2026-03-26,2328,廣宇,C.外資連買5天,-251.0,655999.0,32.9
2026-03-26,5484,慧友,C.外資連買5天,-1000.0,8000.0,3.02
2026-03-26,6962,奕力-KY,C.外資連買5天,-1000.0,852000.0,14.36
2026-03-26,8271,宇瞻,C.外資連買5天,-1089.0,131999.0,13.6
2026-03-26,2395,研華,C.外資連買5天,-1264.0,244291.0,8.5
2026-03-26,6196,帆宣,C.外資連買5天,-1409.0,42289.0,-0.65
2026-03-26,3209,全科,C.外資連買5天,-2960.0,471000.0,20.11
2026-03-26,2912,統一超,C.外資連買5天,-3000.0,1642468.0,59.61
2026-03-26,1210,大成,C.外資連買5天,-9000.0,673001.0,43.31
2026-03-26,2347,聯強,C.外資連買5天,-10622.0,5204139.0,51.79
2026-03-26,5871,中租-KY,C.外資連買5天,-12000.0,4067650.0,45.3
2026-03-26,3702,大聯大,C.外資連買5天,-12189.0,1975386.0,9.44
2026-03-26,3045,台灣大,C.外資連買5天,-22527.0,1090462.0,29.67
2026-03-26,4904,遠傳,C.外資連買5天,-24909.0,799187.0,13.2
2026-03-26,2356,英業達,C.外資連買5天,-27170.0,5478584.0,54.49
2026-03-26,2006,東和鋼鐵,C.外資連買5天,-77000.0,1721000.0,68.83
2026-03-26,2412,中華電,C.外資連買5天,-82249.0,652093.0,12.61
2026-03-26,9802,鈺齊-KY,C.外資連買5天,-87000.0,209000.0,13.27
2026-03-26,4938,和碩,C.外資連買5天,-148871.0,9766123.0,41.23
2026-03-26,2618,長榮航,C.外資連買5天,-554000.0,7298587.0,40.94
2026-03-26,9941,裕融,C.外資連買5天,-2654000.0,3008800.0,7.9
