代號,名稱,分類,狀態,檢核結果,警示
1235,興泰,C.外資連買5天,✅ 通過,✓ 營收YoY成長177.2% | 季增率QoQ(2.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比77.51% | ✓ 融資使用率1.7%,-
2923,鼎固-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長481.1% | 季增率QoQ(508.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比76.75%,-
6183,關貿,C.外資連買5天,✅ 通過,✓ 營收YoY成長0.6% | 季增率QoQ(20.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比61.24% | ✓ 融資使用率0.0%,-
4942,嘉彰,C.外資連買5天,✅ 通過,✓ 營收YoY成長22.9% | 季增率QoQ(9.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比57.14% | ✓ 融資使用率2.2%,-
9942,茂順,C.外資連買5天,✅ 通過,✓ 營收YoY成長39.9% | 季增率QoQ(11.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比55.09% | ✓ 融資使用率0.4%,-
2886,兆豐金,A.外投同買3天,✅ 通過,✓ 營收YoY成長20.1% | 季增率QoQ(0.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比54.19% | ✓ 融資使用率0.0%,-
9905,大華,C.外資連買5天,✅ 通過,✓ 營收YoY成長38.1% | 季增率QoQ(15.4%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比54.16% | ✓ 融資使用率0.3%,-
2015,豐興,C.外資連買5天,✅ 通過,✓ 營收YoY成長11.7% | 季增率QoQ(6.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比50.36% | ✓ 融資使用率0.0%,-
2945,三商家購,C.外資連買5天,✅ 通過,✓ 營收YoY成長1.9% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比47.28%,警示季增率QoQ為負(-1.7%)
6655,科定,C.外資連買5天,✅ 通過,✓ 營收YoY成長82.7% | 季增率QoQ(12.3%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比47.19% | ✓ 融資使用率0.0%,-
2027,大成鋼,C.外資連買5天,✅ 通過,✓ 營收YoY成長19.9% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比40.80% | ✓ 融資使用率5.7%,警示季增率QoQ為負(-5.2%)
2606,裕民,C.外資連買5天,✅ 通過,✓ 營收YoY成長6.7% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比37.68% | ✓ 融資使用率1.9%,警示季增率QoQ為負(-3.7%)
6414,樺漢,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.1% | 季增率QoQ(13.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比36.65% | ✓ 融資使用率3.2%,-
2890,永豐金,A.外投同買3天,✅ 通過,✓ 營收YoY成長55.1% | 季增率QoQ(11.3%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比33.87% | ✓ 融資使用率0.1%,-
8411,福貞-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長47.3% | 季增率QoQ(35.1%) | 🔥 月營收創歷史新高 | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比33.26% | ✓ 融資使用率0.0%,-
2373,震旦行,C.外資連買5天,✅ 通過,✓ 營收YoY成長9.6% | 季增率QoQ(5.5%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比33.03% | ✓ 融資使用率0.1%,-
3266,昇陽,C.外資連買5天,✅ 通過,✓ 營收YoY成長222.0% | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比32.71% | ✓ 融資使用率0.6%,警示季增率QoQ為負(-6.3%)
5538,東明-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長46.2% | 季增率QoQ(15.4%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比32.44% | ✓ 融資使用率0.0%,-
8210,勤誠,B.投信連買4天,✅ 通過,✓ 營收YoY成長137.0% | 季增率QoQ(25.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比29.27% | ✓ 融資使用率13.4%,-
8454,富邦媒,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長1.9% | 季增率QoQ(37.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比29.22% | ✓ 融資使用率1.6%,-
3665,貿聯-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長34.2% | 季增率QoQ(8.3%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比28.39% | ✓ 融資使用率4.1%,-
2317,鴻海,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長35.5% | 季增率QoQ(4.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比28.26% | ✓ 融資使用率1.5%,-
2395,研華,A.外投同買3天 / B.投信連買4天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長23.1% | 季增率QoQ(6.7%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比26.78% | ✓ 融資使用率1.2%,-
5607,遠雄港,C.外資連買5天,✅ 通過,✓ 營收YoY成長41.1% | 季增率QoQ(8.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比24.99% | ✓ 融資使用率1.8%,-
2356,英業達,C.外資連買5天,✅ 通過,✓ 營收YoY成長34.8% | 季增率QoQ(1.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比24.06% | ✓ 融資使用率2.6%,-
8341,日友,C.外資連買5天,✅ 通過,✓ 營收YoY成長25.8% | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比22.54% | ✓ 融資使用率1.1%,警示季增率QoQ為負(-6.2%)
2458,義隆,C.外資連買5天,✅ 通過,✓ 營收YoY成長2.4% | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比21.92% | ✓ 融資使用率5.7%,警示季增率QoQ為負(-11.2%)
8033,雷虎,C.外資連買5天,✅ 通過,✓ 營收YoY成長83.8% | 季增率QoQ(24.5%) | ❌ 5年內有EPS虧損 | ❌ 連續發股利不滿5年 | 法人本日買超比21.84%,⚠️ 融資使用率22.0%
1521,大億,C.外資連買5天,✅ 通過,✓ 營收YoY成長43.8% | 季增率QoQ(7.6%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比21.52% | ✓ 融資使用率2.2%,-
6115,鎰勝,C.外資連買5天,✅ 通過,✓ 營收YoY成長36.0% | 季增率QoQ(8.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比21.46% | ✓ 融資使用率0.1%,-
3533,嘉澤,A.外投同買3天 / C.外資連買5天,✅ 通過,✓ 營收YoY成長31.5% | 季增率QoQ(18.9%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比21.27% | ✓ 融資使用率3.7%,-
8481,政伸,C.外資連買5天,✅ 通過,✓ 營收YoY成長8.7% | 季增率QoQ(6.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比20.83% | ✓ 融資使用率0.0%,-
1590,亞德客-KY,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長66.8% | 季增率QoQ(21.1%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.92% | ✓ 融資使用率0.6%,-
6669,緯穎,B.投信連買4天,✅ 通過,✓ 營收YoY成長121.9% | 季增率QoQ(4.0%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.52% | ✓ 融資使用率4.7%,-
2376,技嘉,C.外資連買5天,✅ 通過,✓ 營收YoY成長57.0% | 季增率QoQ(17.4%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比18.36% | ✓ 融資使用率6.4%,-
6781,AES-KY,A.外投同買3天,✅ 通過,✓ 營收YoY成長46.5% | 季增率QoQ(7.8%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比17.11% | ✓ 融資使用率15.5%,-
3231,緯創,C.外資連買5天,✅ 通過,✓ 營收YoY成長151.5% | 季增率QoQ(36.2%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比16.98% | ✓ 融資使用率7.0%,-
6449,鈺邦,C.外資連買5天,✅ 通過,✓ 營收YoY成長44.3% | 季增率QoQ(7.6%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比16.88% | ✓ 融資使用率10.9%,-
1341,富林-KY,C.外資連買5天,✅ 通過,✓ 營收YoY成長5.9% | 季增率QoQ(8.2%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比15.49%,-
3014,聯陽,C.外資連買5天,✅ 通過,✓ 營收YoY成長7.0% | 季增率QoQ(0.1%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比14.87% | ✓ 融資使用率5.2%,-
2548,華固,B.投信連買4天,✅ 通過,✓ 營收YoY成長34609.6% | 季增率QoQ(278.5%) | ❌ 5年內有EPS虧損 | ✓ 連續5年發股利 | 法人本日買超比14.63% | ✓ 融資使用率1.5%,-
1731,美吾華,C.外資連買5天,✅ 通過,✓ 營收YoY成長4.2% | 季增率QoQ(23.9%) | 🔥 月營收創歷史新高 | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比14.10% | ✓ 融資使用率0.8%,-
3026,禾伸堂,A.外投同買3天 / B.投信連買4天,✅ 通過,✓ 營收YoY成長22.3% | 季增率QoQ(4.7%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比13.93%,⚠️ 融資使用率44.2%
6206,飛捷,C.外資連買5天,✅ 通過,✓ 營收YoY成長5.1% | 季增率QoQ(5.1%) | ✓ 5年EPS均為正 | ✓ 連續5年發股利 | 法人本日買超比13.82% | ✓ 融資使用率9.0%,-
